ano_mes,receita_total,quantidade,n_vendas
2009-12,299563.06,156375,26631
2010-01,220142.202,122846,19094
2010-02,233511.896,130087,20719
2010-03,323645.651,182760,28711
2010-04,285311.742,155736,23822
2010-05,291543.71,159146,25141
2010-06,309251.65,174150,27717
2010-07,277326.14,158437,23927
2010-08,269706.46,157930,23078
2010-09,369188.341,216494,30240
2010-10,501403.65,289509,44104
2010-11,563494.212,307235,54166
2010-12,390980.94,206605,35892
2011-01,218797.71,127139,18660
2011-02,211040.36000000002,119532,17688
2011-03,278817.6,161655,24187
2011-04,235605.121,138821,20253
2011-05,309834.38,173025,24842
2011-06,278433.0,161537,23939
2011-07,266196.301,168628,23487
2011-08,288332.56,175764,23659
2011-09,432985.142,259970,35214
2011-10,493299.68,284326,44564
2011-11,587491.03,343816,58254
2011-12,156492.97,97276,15385
