cliente,total_gasto,segmento
14911,162411.19,Ouro
17841,58473.29,Ouro
13089,46769.61,Ouro
17850,46454.6,Ouro
14156,44237.26,Ouro
14096,40937.96,Ouro
12748,36391.51,Ouro
14298,32059.24,Ouro
13081,31561.24,Ouro
14606,27753.57,Ouro
15039,25107.59,Ouro
12921,22927.05,Ouro
14527,22230.4,Ouro
15311,21059.29,Ouro
12681,20468.97,Ouro
17675,16577.3,Ouro
12682,16486.73,Ouro
12471,16003.9,Ouro
13319,15850.890000000001,Ouro
15358,15328.22,Ouro
17865,15157.78,Ouro
14194,15024.81,Ouro
13564,14947.300000000001,Ouro
14667,14805.53,Ouro
17735,14664.22,Ouro
17448,14258.89,Ouro
14769,14176.45,Ouro
14895,14128.12,Ouro
13001,13970.37,Ouro
15005,13917.56,Ouro
17243,13663.4,Ouro
17377,13390.07,Ouro
12472,13268.33,Ouro
15498,13123.23,Ouro
16549,12988.99,Ouro
15044,12838.31,Ouro
15601,12810.87,Ouro
17581,12631.69,Ouro
15615,12603.33,Ouro
12949,12427.29,Ouro
14680,12420.01,Ouro
15078,12190.11,Ouro
17920,12114.48,Ouro
16161,11966.41,Ouro
17589,11914.66,Ouro
13488,11704.1,Ouro
17338,11656.93,Ouro
15768,11603.0,Ouro
14415,11590.83,Ouro
17706,11559.94,Ouro
14849,11543.31,Ouro
13178,11540.58,Ouro
13468,11523.43,Ouro
16558,11393.630000000001,Ouro
13050,11341.6,Ouro
17139,11317.33,Ouro
13004,11264.3,Ouro
14961,11102.130000000001,Ouro
12540,11046.47,Ouro
14505,11022.460000000001,Ouro
16746,10949.84,Ouro
15159,10948.6,Ouro
16779,10874.9,Ouro
12474,10838.63,Ouro
16923,10821.58,Ouro
13097,10573.12,Ouro
15640,10540.01,Ouro
13767,10495.61,Ouro
12621,10420.84,Ouro
15856,10368.93,Ouro
12567,10336.02,Ouro
13969,10334.41,Ouro
16713,10317.51,Ouro
15555,10300.43,Ouro
15808,10273.960000000001,Ouro
12714,10268.99,Ouro
15023,10254.57,Ouro
16033,9982.82,Ouro
15719,9973.31,Ouro
18223,9807.03,Ouro
17160,9791.16,Ouro
15382,9775.95,Ouro
17340,9584.49,Ouro
16782,9553.55,Ouro
17716,9517.66,Ouro
17364,9509.66,Ouro
17416,9502.37,Ouro
14796,9378.29,Ouro
16327,9326.07,Ouro
18055,9200.3,Ouro
14049,9188.48,Ouro
16814,9157.17,Ouro
13078,9140.14,Ouro
16984,9042.87,Ouro
13013,9038.33,Ouro
14085,8997.65,Ouro
13093,8980.04,Ouro
12705,8974.75,Ouro
14422,8923.87,Ouro
12437,8915.58,Ouro
15547,8856.34,Ouro
14426,8854.48,Ouro
13018,8854.0,Ouro
13174,8842.58,Ouro
14329,8823.56,Ouro
17068,8804.28,Ouro
13985,8797.0,Ouro
17049,8766.5,Ouro
14936,8763.55,Ouro
15150,8670.18,Ouro
12839,8637.82,Ouro
12668,8564.47,Ouro
16873,8499.64,Ouro
17428,8496.13,Ouro
15805,8457.630000000001,Ouro
15296,8456.81,Ouro
15249,8440.35,Ouro
16550,8409.18,Ouro
12476,8391.83,Ouro
12539,8283.55,Ouro
12433,8280.130000000001,Ouro
15867,8267.91,Ouro
15570,8243.82,Ouro
12683,8238.12,Ouro
13148,8236.19,Ouro
13263,8203.27,Ouro
14040,8173.400000000001,Ouro
17576,8170.53,Ouro
13458,8161.3,Ouro
14755,8133.08,Ouro
15998,8128.97,Ouro
17757,8120.1,Ouro
17611,8089.38,Ouro
12957,8040.89,Ouro
15281,8009.81,Ouro
16700,7979.16,Ouro
13869,7974.69,Ouro
16186,7932.7300000000005,Ouro
18226,7910.49,Ouro
14395,7902.110000000001,Ouro
13668,7773.96,Ouro
12477,7731.0,Ouro
13102,7727.76,Ouro
17677,7724.61,Ouro
17238,7605.39,Ouro
13137,7595.58,Ouro
15786,7561.0,Ouro
17085,7558.01,Ouro
13418,7554.16,Ouro
14367,7529.88,Ouro
12647,7478.81,Ouro
17511,7475.02,Ouro
13735,7461.56,Ouro
14159,7444.89,Ouro
16670,7438.860000000001,Ouro
15544,7332.42,Ouro
14056,7325.89,Ouro
12490,7318.06,Ouro
17686,7238.7300000000005,Ouro
12867,7217.18,Ouro
16556,7204.64,Ouro
17091,7192.18,Ouro
15622,7164.82,Ouro
18172,7151.3,Ouro
17231,7150.24,Ouro
12766,7127.3,Ouro
16843,7107.93,Ouro
15727,7067.06,Ouro
13448,7024.7300000000005,Ouro
13451,7013.62,Ouro
14146,6977.04,Ouro
14031,6965.35,Ouro
12451,6964.88,Ouro
14291,6951.6,Ouro
12720,6937.23,Ouro
17426,6905.49,Ouro
13267,6903.18,Ouro
17365,6881.73,Ouro
16592,6853.51,Ouro
12637,6837.38,Ouro
18225,6805.0,Ouro
16945,6787.3,Ouro
13047,6778.83,Ouro
17811,6776.16,Ouro
17965,6736.2300000000005,Ouro
15194,6712.39,Ouro
16242,6672.64,Ouro
18260,6672.43,Ouro
14286,6667.16,Ouro
13871,6657.900000000001,Ouro
12662,6627.52,Ouro
14016,6582.93,Ouro
15034,6581.25,Ouro
13999,6557.62,Ouro
13269,6531.5199999999995,Ouro
18118,6480.3,Ouro
13709,6441.26,Ouro
14388,6354.56,Ouro
16729,6325.99,Ouro
15955,6307.93,Ouro
13715,6296.62,Ouro
14702,6250.67,Ouro
13408,6246.012,Ouro
12431,6244.97,Ouro
15260,6208.0,Ouro
14030,6195.19,Ouro
15298,6184.67,Ouro
15750,6178.401,Ouro
15738,6175.64,Ouro
14646,6157.03,Ouro
13534,6154.3,Ouro
13069,6151.43,Ouro
17799,6142.33,Ouro
16717,6141.33,Ouro
13141,6131.56,Ouro
17315,6120.12,Ouro
17509,6115.14,Ouro
16938,6101.39,Ouro
18245,6082.74,Ouro
15513,6066.41,Ouro
13206,6043.32,Ouro
17593,6035.82,Ouro
14461,6024.97,Ouro
14092,6002.53,Ouro
16710,5996.86,Ouro
18041,5972.12,Ouro
12841,5968.06,Ouro
14800,5967.7699999999995,Ouro
16705,5962.4310000000005,Ouro
16170,5951.19,Ouro
17602,5939.76,Ouro
13381,5906.2300000000005,Ouro
12359,5887.6900000000005,Ouro
16940,5883.68,Ouro
17769,5883.15,Ouro
16497,5833.52,Ouro
13615,5832.17,Ouro
12749,5818.9800000000005,Ouro
15755,5733.8,Ouro
13230,5730.26,Ouro
14243,5723.17,Ouro
13334,5722.11,Ouro
16145,5704.56,Ouro
13136,5696.66,Ouro
14175,5675.75,Ouro
12583,5673.42,Ouro
13373,5666.45,Ouro
18178,5650.37,Ouro
12481,5638.54,Ouro
14227,5622.42,Ouro
14562,5592.84,Ouro
16133,5577.38,Ouro
12417,5573.2,Ouro
15301,5571.02,Ouro
13015,5521.38,Ouro
14535,5504.92,Ouro
17625,5493.49,Ouro
13883,5492.8,Ouro
14534,5482.57,Ouro
13394,5448.29,Ouro
14221,5446.83,Ouro
14210,5431.13,Ouro
17690,5426.07,Ouro
16722,5416.3,Ouro
13842,5408.89,Ouro
18109,5400.51,Ouro
17700,5389.36,Ouro
13317,5385.781,Ouro
15674,5357.650000000001,Ouro
17017,5345.01,Ouro
13952,5333.171,Ouro
14735,5325.88,Ouro
14110,5315.14,Ouro
16265,5306.83,Ouro
17059,5306.49,Ouro
15628,5300.54,Ouro
18231,5296.03,Ouro
18075,5274.59,Ouro
17419,5264.86,Ouro
14766,5263.89,Ouro
16393,5226.19,Ouro
14081,5224.43,Ouro
14099,5221.59,Ouro
15321,5220.97,Ouro
12613,5189.19,Ouro
18065,5187.2300000000005,Ouro
16409,5183.76,Ouro
16931,5177.1,Ouro
16011,5159.23,Ouro
12835,5146.86,Ouro
15502,5125.88,Ouro
14907,5122.0,Ouro
14546,5116.85,Ouro
15984,5112.37,Ouro
13599,5101.97,Ouro
12708,5089.28,Ouro
12971,5082.78,Ouro
14530,5082.27,Ouro
16200,5036.24,Ouro
17644,5032.67,Ouro
13593,5030.1900000000005,Ouro
16303,5019.06,Ouro
17107,5010.34,Ouro
17651,4971.0,Prata
18145,4968.59,Prata
16458,4964.5,Prata
13815,4958.36,Prata
14112,4949.05,Prata
13098,4937.71,Prata
17346,4934.49,Prata
12836,4922.12,Prata
13362,4921.32,Prata
13993,4915.62,Prata
16279,4905.33,Prata
17449,4900.75,Prata
14057,4896.02,Prata
17612,4895.88,Prata
14180,4895.45,Prata
15443,4894.57,Prata
17092,4891.1,Prata
12484,4884.44,Prata
13975,4883.37,Prata
15152,4869.72,Prata
17213,4869.72,Prata
13209,4867.56,Prata
13654,4855.78,Prata
16655,4854.48,Prata
16686,4827.93,Prata
13901,4822.79,Prata
14639,4810.3,Prata
17696,4808.77,Prata
13590,4806.6900000000005,Prata
14841,4804.01,Prata
14713,4799.07,Prata
15898,4795.9,Prata
12378,4767.44,Prata
16735,4759.82,Prata
17504,4759.73,Prata
14852,4744.86,Prata
16523,4738.75,Prata
13115,4728.19,Prata
13198,4713.99,Prata
16255,4700.6,Prata
17758,4691.11,Prata
17469,4687.11,Prata
15521,4679.97,Prata
14688,4679.6900000000005,Prata
16919,4677.86,Prata
15529,4673.23,Prata
16258,4665.09,Prata
13327,4648.9400000000005,Prata
17146,4643.54,Prata
13680,4640.9400000000005,Prata
16609,4640.52,Prata
16992,4629.900000000001,Prata
16904,4626.03,Prata
13758,4623.57,Prata
14307,4623.14,Prata
15271,4613.99,Prata
13527,4605.38,Prata
14709,4589.97,Prata
14189,4579.09,Prata
17858,4572.53,Prata
12779,4567.54,Prata
16168,4567.17,Prata
14930,4566.58,Prata
14572,4556.86,Prata
14944,4551.61,Prata
17069,4526.68,Prata
12633,4526.42,Prata
15950,4511.04,Prata
16326,4498.39,Prata
12759,4487.78,Prata
15796,4487.03,Prata
14525,4478.88,Prata
15218,4477.82,Prata
14732,4462.47,Prata
12362,4453.69,Prata
15367,4444.94,Prata
17220,4439.33,Prata
14493,4424.95,Prata
13634,4411.5,Prata
14390,4407.81,Prata
18069,4402.79,Prata
13931,4399.36,Prata
12712,4387.03,Prata
15874,4381.81,Prata
17442,4373.11,Prata
17191,4369.91,Prata
17652,4360.37,Prata
13769,4357.9400000000005,Prata
13510,4345.9,Prata
17400,4334.25,Prata
13571,4332.72,Prata
14844,4325.05,Prata
15641,4313.59,Prata
16180,4306.43,Prata
15203,4301.94,Prata
16241,4278.55,Prata
15673,4276.39,Prata
16156,4249.8,Prata
13971,4242.89,Prata
13555,4226.83,Prata
14625,4221.28,Prata
14154,4213.74,Prata
14105,4210.18,Prata
15379,4207.79,Prata
17728,4204.68,Prata
12615,4198.1,Prata
17838,4196.76,Prata
16187,4191.6,Prata
16293,4189.75,Prata
16477,4186.9400000000005,Prata
15179,4186.25,Prata
17682,4180.24,Prata
15581,4177.19,Prata
16709,4165.81,Prata
16283,4164.71,Prata
12626,4161.06,Prata
16126,4158.92,Prata
12428,4156.38,Prata
15002,4153.12,Prata
16316,4151.42,Prata
13139,4147.28,Prata
13659,4134.93,Prata
17138,4125.45,Prata
17084,4103.45,Prata
17719,4096.32,Prata
